InputID,TargetID,Distance
64492,Airport (MCI),25557.05068
64492,The Plaza,48922.08822
64492,Power and Light,42579.65152
64492,The Legands,47206.99793
64492,Lee's Summit,64094.82388
64084,Airport (MCI),57056.35499
64084,The Plaza,59422.77327
64084,Power and Light,54818.39778
64084,The Legands,72271.13248
64084,Lee's Summit,59178.38515
64029,Airport (MCI),54347.6556
64029,The Plaza,32892.40586
64029,Power and Light,33334.16778
64029,The Legands,54916.80903
64029,Lee's Summit,17818.94302
64070,Airport (MCI),67079.66891
64070,The Plaza,41981.74752
64070,Power and Light,44082.82062
64070,The Legands,64580.05847
64070,Lee's Summit,20618.59116
64770,Airport (MCI),130297.7392
64770,The Plaza,100125.9119
64770,Power and Light,105047.5363
64770,The Legands,119454.2457
64770,Lee's Summit,79024.875
64788,Airport (MCI),114106.3878
64788,The Plaza,84310.83135
64788,Power and Light,88938.89711
64788,The Legands,104483.9138
64788,Lee's Summit,62594.55869
64124,Airport (MCI),26401.53849
64124,The Plaza,8517.402614
64124,Power and Light,3746.659018
64124,The Legands,25328.48469
64124,Lee's Summit,25184.67047
64063,Airport (MCI),53358.73301
64063,The Plaza,25205.92152
64063,Power and Light,28609.6161
64063,The Legands,47575.32772
64063,Lee's Summit,2676.894539
64440,Airport (MCI),35404.98244
64440,The Plaza,65848.46799
64440,Power and Light,60662.56208
64440,The Legands,51034.6074
64440,Lee's Summit,86888.75906
64057,Airport (MCI),42723.1619
64057,The Plaza,23527.51399
64057,Power and Light,22645.54335
64057,The Legands,44447.94543
64057,Lee's Summit,17911.44939
64637,Airport (MCI),75453.36462
64637,The Plaza,82993.35394
64637,Power and Light,77948.34727
64637,The Legands,93425.66509
64637,Lee's Summit,83598.30232
64720,Airport (MCI),104669.2036
64720,The Plaza,74089.84722
64720,Power and Light,79852.57831
64720,The Legands,90562.88126
64720,Lee's Summit,56741.87879
64089,Airport (MCI),16529.27013
64089,The Plaza,38672.85445
64089,Power and Light,32351.66975
64089,The Legands,37445.61365
64089,Lee's Summit,54985.36183
64117,Airport (MCI),22543.18929
64117,The Plaza,14897.47288
64117,Power and Light,8931.609891
64117,The Legands,27073.24033
64117,Lee's Summit,30233.6456
64075,Airport (MCI),59795.03008
64075,The Plaza,38972.55106
64075,Power and Light,39356.17054
64075,The Legands,60981.82908
64075,Lee's Summit,22609.2251
64746,Airport (MCI),78996.05916
64746,The Plaza,48701.81787
64746,Power and Light,54758.43091
64746,The Legands,64093.54617
64746,Lee's Summit,35128.20946
64106,Airport (MCI),25109.38675
64106,The Plaza,7232.879261
64106,Power and Light,1182.511216
64106,The Legands,22671.4369
64106,Lee's Summit,26549.04517
64730,Airport (MCI),121457.1345
64730,The Plaza,90897.60454
64730,Power and Light,96683.08711
64730,The Legands,106941.5929
64730,Lee's Summit,73402.17012
64067,Airport (MCI),77669.77908
64067,The Plaza,66459.33506
64067,Power and Light,64610.87739
64067,The Legands,85982.66422
64067,Lee's Summit,54348.55311
64723,Airport (MCI),105177.5057
64723,The Plaza,75658.08768
64723,Power and Light,81900.70142
64723,The Legands,88011.81475
64723,Lee's Summit,63203.08664
